"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALGRAD","TOT","100000HAB","A","2015",15.75,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2016",15.95,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2017",15.45,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2018",15.84,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2015",14.52,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2016",13.94,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2017",14.19,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2018",15.23,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2015",12.05,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2016",14.24,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2017",14.8,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2018",28.72,"B"
"BEL","MEDICALGRAD","TOT","100000HAB","A","2019",17.63,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2015",7.88,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2016",7.88,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2017",7.69,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2018",7.72,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2019",7.72,"P"
"CZE","MEDICALGRAD","TOT","100000HAB","A","2015",13.56,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2016",15.1,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2017",17.13,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2018",15.99,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2015",17.05,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2016",21.47,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2017",22.2,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2018",23.04,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2015",11.41,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2016",12.03,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2017",10.42,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2018",11.69,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2015",9.05,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2016",9.46,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2017",10.85,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2015",11.28,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2016",11.71,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2017",12.01,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2018",11.53,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2015",10.74,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2016",10.22,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2017",12.4,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2015",13.4,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2016",14.14,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2017",14.41,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2018",15.96,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2015",12.7,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2016",15.8,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2017",14.56,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2018",13.61,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2015",23.54,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2016",24.44,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2017",24.88,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2018",25.15,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2015",12.35,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2016",13.25,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2017",15.07,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2015",6.39,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2016",6.72,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2017",6.84,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2018",6.92,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2019",7.14,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2015",7.57,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2016",7.58,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2017",7.58,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2018",7.48,
