"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSE","TOT","1000HAB","A","2015",11.39,"E"
"AUS","NURSE","TOT","1000HAB","A","2016",11.57,"E"
"AUS","NURSE","TOT","1000HAB","A","2017",11.68,"E"
"AUS","NURSE","TOT","1000HAB","A","2018",11.92,"E"
"AUT","NURSE","TOT","1000HAB","A","2015",6.8,"D"
"AUT","NURSE","TOT","1000HAB","A","2016",6.77,"D"
"AUT","NURSE","TOT","1000HAB","A","2017",6.85,"D"
"AUT","NURSE","TOT","1000HAB","A","2018",6.87,"D"
"CAN","NURSE","TOT","1000HAB","A","2015",9.91,
"CAN","NURSE","TOT","1000HAB","A","2016",9.96,
"CAN","NURSE","TOT","1000HAB","A","2017",10,
"CAN","NURSE","TOT","1000HAB","A","2018",9.95,
"CZE","NURSE","TOT","1000HAB","A","2015",8.01,
"CZE","NURSE","TOT","1000HAB","A","2016",8.07,
"CZE","NURSE","TOT","1000HAB","A","2017",8.06,
"CZE","NURSE","TOT","1000HAB","A","2018",8.07,
"DNK","NURSE","TOT","1000HAB","A","2015",9.92,
"DNK","NURSE","TOT","1000HAB","A","2016",9.95,
"DNK","NURSE","TOT","1000HAB","A","2017",10.03,
"DNK","NURSE","TOT","1000HAB","A","2018",10.1,
"FRA","NURSE","TOT","1000HAB","A","2015",9.93,
"FRA","NURSE","TOT","1000HAB","A","2016",10.21,
"FRA","NURSE","TOT","1000HAB","A","2017",10.48,
"FRA","NURSE","TOT","1000HAB","A","2018",10.79,
"DEU","NURSE","TOT","1000HAB","A","2015",12.65,
"DEU","NURSE","TOT","1000HAB","A","2016",12.82,
"DEU","NURSE","TOT","1000HAB","A","2017",13.13,
"DEU","NURSE","TOT","1000HAB","A","2018",13.22,"P"
"GRC","NURSE","TOT","1000HAB","A","2015",3.21,"D"
"GRC","NURSE","TOT","1000HAB","A","2016",3.25,"D"
"GRC","NURSE","TOT","1000HAB","A","2017",3.31,"D"
"GRC","NURSE","TOT","1000HAB","A","2018",3.37,"D"
"HUN","NURSE","TOT","1000HAB","A","2015",6.47,
"HUN","NURSE","TOT","1000HAB","A","2016",6.44,
"HUN","NURSE","TOT","1000HAB","A","2017",6.51,"B"
"HUN","NURSE","TOT","1000HAB","A","2018",6.62,
"ISL","NURSE","TOT","1000HAB","A","2015",15.45,
"ISL","NURSE","TOT","1000HAB","A","2016",14.22,
"ISL","NURSE","TOT","1000HAB","A","2017",14.5,
"ISL","NURSE","TOT","1000HAB","A","2018",14.67,
"ISL","NURSE","TOT","1000HAB","A","2019",15.52,
"IRL","NURSE","TOT","1000HAB","A","2015",12.35,
"IRL","NURSE","TOT","1000HAB","A","2016",11.56,
"IRL","NURSE","TOT","1000HAB","A","2017",12.16,
"IRL","NURSE","TOT","1000HAB","A","2018",12.88,
"JPN","NURSE","TOT","1000HAB","A","2016",11.34,
"JPN","NURSE","TOT","1000HAB","A","2018",11.76,
"KOR","NURSE","TOT","1000HAB","A","2015",5.94,
"KOR","NURSE","TOT","1000HAB","A","2016",6.82,"B"
"KOR","NURSE","TOT","1000HAB","A","2017",6.94,
"KOR","NURSE","TOT","1000HAB","A","2018",7.24,
"LUX","NURSE","TOT","1000HAB","A","2015",11.91,
"LUX","NURSE","TOT","1000HAB","A","2016",11.72,
"LUX","NURSE","TOT","1000HAB","A","2017",11.72,
"MEX","NURSE","TOT","1000HAB","A","2015",2.77,
"MEX","NURSE","TOT","1000HAB","A","2016",2.87,
"MEX","NURSE","TOT","1000HAB","A","2017",2.87,
"MEX","NURSE","TOT","1000HAB","A","2018",2.87,
"NZL","NURSE","TOT","1000HAB","A","2015",10.28,
"NZL","NURSE","TOT","1000HAB","A","2016",10.32,
"NZL","NURSE","TOT","1000HAB","A","2017",10.23,
"NZL","NURSE","TOT","1000HAB","A","2018",10.34,
"NOR","NURSE","TOT","1000HAB","A","2015",17.34,"B"
"NOR","NURSE","TOT","1000HAB","A","2016",17.49,
"NOR","NURSE","TOT","1000HAB","A","2017",17.67,
